Patient.ID,Fraction of genome altered
PROS01448-DFCI.10-448.P34-SM-5CQ4Y,0.00284306255033781
PROS01448-DFCI.10-448.P38-SM-5CQ52,0.194807086617143
PROS01448-DFCI.10-448.P40-SM-5CQ53,0.00960251608851392
PROS01448-DFCI.10-448.P42-SM-5CQ55,0.368597765328612
PROS10448-SUTC.01115081-SM-4JC6A,0.0286983067787727
PROS10448-SUTC.01115082-SM-4JC6B,0.248720799100308
PROS10448-SUTC.01115084-SM-4JC6H,0.00746620647801689
PROS10448-SUTC.01115085-SM-4JC6J,0.00236853015949481
PROS10448-SUTC.01115086-SM-4JC6K,0.110577857386963
PROS10448-SUTC.01115088-SM-4JC6Q,0.102492941623356
PROS10448-SUTC.01115089-SM-4JC6T,0.312032241362682
PROS10448-SUTC.01115090-SM-4JC6W,0.224333222508852
PROS10448-SUTC.01115091-SM-4JC6Y,0.200050755711712
PROS10448-SUTC.01115092-SM-4JC74,0.0493325875419336
PROS10448P28-SU2C.01115016-SM-42W9D,0.185827060034635
PROS11496-6115236-SM-6CNPW,0.272218765965339
PROS11496-6115285-SM-6CNPX,0.0500419446568133
PROS11496-6115286-SM-6CNPY,0.188167611867409
PROS11496-6115288-SM-6CNQ1,0.682859804958238
PROS11496-6115295-SM-6CNQ7,0.511175997483923
PROS11496-6115317-SM-6CNQ2,0.468141874481117
PROS11496-6115319-SM-6CNQ3,0.486805324168074
PROS11496-6115320-SM-6CNQ4,0.319710839628854
PROS11496-6115321-SM-6CNQ5,0.127088525853888
PROS11496-6115322-SM-6CNQ6,0.486213991976357
PROS11496-6115323-SM-6CNQ8,0.190215054310256
PROS12319B-SU2C-06115114-SM-4W2N9,0.272445904667974
PROS12319B-SU2C-06115115-SM-4W2NA,0.52348449417317
PROS12319B-SU2C-06115116-SM-4W2NB,0.0237189802801897
PROS12319B-SU2C-06115117-SM-4W2NC,0.149707053223566
PROS12319B-SU2C-06115118-SM-4W2ND,0.374425971166765
PROS12319B-SU2C-06115119-SM-4W2NE,0.00492169102235343
PROS12319B-SU2C-06115120-SM-4W2NF,0.587605872578672
PROS12319B-SU2C-06115121-SM-4W2NG,0.584435245147733
PROS12319B-SU2C-06115122-SM-4W2NH,0.498333405302864
PROS12319B-SU2C-06115123-SM-4W2NI,0.262664956313979
SC_9130,0.0115167800658981
TP_2061,0.567573427189965
SC_9022,0.362376316923625
MO_1215,0.621634112047316
MO_1162,0.356026570062679
SC_9156,0.658198618372873
MO_1021,0.00296818401403747
MO_1054,0.156977505647902
MO_1071,0.143168705634505
PRAD-DFCI.11-104.15-SM-3S2HH,0.269664969538837
SC_9028,0.148814130063793
SC_9093,0.661237426533543
SC_9105,0.0625455262220913
MO_1012,0.455066435349455
MO_1095,0.389952696816986
TCGA-V1-A8MK,0.00129082181327025
TCGA-HC-8260,0.000802469286835393
TCGA-EJ-7125,0.00532314971586539
TCGA-G9-7523,0.00116562379502211
TCGA-EJ-5512,0.0298028835667247
TCGA-EJ-8469,0.181948355874742
TCGA-HC-7744,0.0199487454521022
TCGA-KK-A6E7,0.108252769723775
TCGA-YL-A9WJ,0.0908184759324884
TCGA-HC-A48F,0.298589086382754
TCGA-J4-8200,0.0365231077980934
TCGA-HC-8213,0.00881048594440654
TCGA-XJ-A9DQ,0.00113381142318741
TCGA-EJ-5510,0.0905651532649618
TCGA-HC-8261,0.0748200227077227
TCGA-CH-5769,0.0288567130056456
TCGA-V1-A9OF,0.0219947654409273
TCGA-VN-A88O,0.0572871143872609
TCGA-EJ-5516,0.0446461436244632
TCGA-EJ-7793,0.00176227940109732
TCGA-G9-7522,0.00475877180201616
TCGA-J4-8198,0.0792690215575088
TCGA-HC-7230,0.0846289120465167
TCGA-HC-7750,0.00799875271642566
TCGA-HC-8259,0.00718134035932768
TCGA-EJ-5494,0.00204953813809337
TCGA-EJ-5502,0.0018276162432956
TCGA-KK-A6DY,0.107186242029602
TCGA-EJ-5503,0.000830063084354525
TCGA-2A-A8VL,0.0317008141128873
TCGA-EJ-7318,0.0486748356552542
TCGA-EJ-AB27,0.00212609273784395
TCGA-G9-6351,0.0577938733293579
TCGA-EJ-5522,0.0252070768794081
TCGA-EJ-A8FO,0.0153287970209613
TCGA-HC-A6HY,0.042515190527299
TCGA-XJ-A83G,0.0928695909318445
TCGA-HC-7079,0.00615471550074862
TCGA-XJ-A9DX,0.290021892524523
TCGA-2A-A8VV,0.0101368387900114
TCGA-FC-7708,0.0389297629799534
TCGA-G9-6370,0.00952404965978587
TCGA-G9-7521,0.242885688611761
TCGA-HC-7747,0.0687389329375539
TCGA-HC-7817,0.00235182056671803
TCGA-HC-A6AO,0.107657285185925
TCGA-EJ-7792,0.0274311583580497
TCGA-EJ-A46D,0.000326357686718997
TCGA-J4-A6M7,0.00453013817701387
TCGA-M7-A720,0.00157788041687826
TCGA-QU-A6IO,0.0576809376927282
TCGA-EJ-7797,0.0172775100782997
TCGA-G9-6498,0.0111730322912831
TCGA-HC-8256,0.0675451294464782
TCGA-EJ-7788,0.0691516499597598
TCGA-FC-A5OB,0.0340027518849399
TCGA-G9-A9S0,0.184292416004494
TCGA-HC-7213,0.236557349484777
TCGA-HC-7819,0.0716228834764294
TCGA-VN-A88R,0.126390660132101
TCGA-EJ-7785,0.0228110344040781
TCGA-G9-6378,0.0108123853885504
TCGA-J4-A67L,0.0617699274718904
TCGA-KC-A7F5,0.0922974891442431
TCGA-KK-A6E2,0.0160461058265314
TCGA-2A-A8W1,0.108477684986437
TCGA-EJ-5507,0.18863711984577
TCGA-HC-7821,0.142537042561078
TCGA-V1-A9Z7,0.125948447726861
TCGA-KC-A4BN,0.00109975170463529
TCGA-M7-A71Y,0.00383723116489891
TCGA-CH-5765,0.0546258215709168
TCGA-CH-5766,0.063346920179604
TCGA-EJ-5501,0.0711490722140977
TCGA-EJ-5511,0.157675347178587
TCGA-EJ-5517,0.0340136438854707
TCGA-G9-6332,0.0667569896711364
TCGA-G9-6354,0.0632203882376032
TCGA-G9-6369,0.0881419356928633
TCGA-HC-7737,0.0546541281404382
TCGA-HC-A6HX,0.00633169392276588
TCGA-HI-7169,0.00310444748087175
TCGA-J4-A67M,0.0738419545905076
TCGA-KC-A4BO,0.000640411575150798
TCGA-KK-A8IM,0.0591035448747701
TCGA-EJ-A65B,0.00138584570509719
TCGA-G9-A9S7,0.0736310724907553
TCGA-HC-8266,0.0509705165007473
TCGA-KK-A59X,0.149442124020799
TCGA-KK-A8I7,0.0267699845766204
TCGA-ZG-A9ND,0.178509105558163
TCGA-2A-AAYU,0.0396553159431336
TCGA-HC-8258,0.000568322715807651
TCGA-ZG-A8QX,0.0466446066363361
TCGA-EJ-5498,0.0308365985960064
TCGA-EJ-A7NF,0.0190047616464067
TCGA-EJ-A7NH,0.085018162375467
TCGA-KK-A7AZ,0.120668881918158
TCGA-CH-5741,0.0588626101101458
TCGA-EJ-5526,0.112089594585008
TCGA-HC-7212,0.089550752128408
TCGA-HC-A4ZV,0.309509812866912
TCGA-HI-7171,0.1758676804909
TCGA-KK-A59Y,0.113419706173363
TCGA-V1-A9O9,0.0471066839615998
TCGA-V1-A9OX,0.1355184807574
